time, v_capacitor, p_capacitor
0.0000,	19.0029	,0.00
0.0002,	18.9508	,69.16
0.0004,	17.5011	,1849.61
0.0006,	16.4238	,1279.14
0.0008,	15.4626	,1072.68
0.0010,	14.5335	,975.45
0.0012,	13.7525	,773.14
0.0014,	13.0557	,653.84
0.0016,	12.3188	,654.43
0.0018,	11.5299	,658.54
0.0020,	10.7770	,587.83
0.0022,	10.1963	,426.27
0.0024,	9.6316	,391.87
0.0026,	8.9468	,445.30
0.0028,	8.4822	,283.39
0.0030,	8.0176	,268.28
0.0032,	7.5451	,257.41
0.0034,	7.1206	,217.90
0.0036,	6.6560	,224.00
0.0038,	6.2635	,177.47
0.0040,	5.9752	,123.51
0.0042,	5.6668	,125.65
0.0044,	5.3264	,130.98
0.0046,	5.0220	,110.24
0.0048,	4.7177	,103.76
0.0050,	4.4894	,73.56
0.0052,	4.1930	,90.06
0.0054,	3.9127	,79.53
0.0056,	3.6083	,80.12
0.0058,	3.5082	,24.94
0.0060,	3.3320	,42.19
0.0062,	3.1278	,46.18
0.0064,	2.9395	,39.97
0.0066,	2.7793	,32.06
0.0068,	2.6392	,26.58
0.0070,	2.5150	,22.40
0.0072,	2.3628	,25.98
0.0074,	2.2587	,16.84
0.0076,	2.1145	,22.07
0.0078,	1.9944	,17.28
0.0080,	1.8542	,18.88
0.0082,	1.7461	,13.63
0.0084,	1.6900	,6.74
0.0086,	1.5659	,14.15
0.0088,	1.4497	,12.26
0.0090,	1.3857	,6.36
0.0092,	1.3576	,2.69
0.0094,	1.2855	,6.67
0.0096,	1.2455	,3.55
0.0098,	1.1374	,9.02
0.0100,	1.1774	,-3.24
0.0102,	1.1294	,3.88
0.0104,	1.0172	,8.42
0.0106,	0.9491	,4.69
0.0108,	0.9371	,0.79
0.0110,	0.9692	,-2.14
0.0112,	0.9411	,1.87
0.0114,	0.8490	,5.77
0.0116,	0.7889	,3.44
0.0118,	0.7449	,2.36
0.0120,	0.7329	,0.62
0.0122,	0.6568	,3.70
0.0124,	0.6167	,1.79
0.0126,	0.6167	,0.00
0.0128,	0.6728	,-2.53
0.0130,	0.6288	,2.01
0.0132,	0.6328	,-0.18
0.0134,	0.4886	,5.66
0.0136,	0.5046	,-0.56
0.0138,	0.5487	,-1.62
0.0140,	0.5847	,-1.43
0.0142,	0.4886	,3.61
0.0144,	0.4806	,0.27
0.0146,	0.4686	,0.40
0.0148,	0.4806	,-0.40
0.0150,	0.4045	,2.36
0.0152,	0.3845	,0.55
0.0154,	0.4165	,-0.90
0.0156,	0.4565	,-1.22
0.0158,	0.4846	,-0.92
0.0160,	0.4686	,0.53
0.0162,	0.4085	,1.84
0.0164,	0.4525	,-1.33
0.0166,	0.4646	,-0.39
0.0168,	0.4365	,0.88
0.0170,	0.3284	,2.89
0.0172,	0.2763	,1.10
0.0174,	0.2924	,-0.32
0.0176,	0.3084	,-0.34
0.0178,	0.3284	,-0.45
0.0180,	0.3084	,0.45
0.0182,	0.3244	,-0.35
0.0184,	0.3564	,-0.76
0.0186,	0.3564	,0.00
0.0188,	0.3124	,1.03
0.0190,	0.2924	,0.42
0.0192,	0.3244	,-0.69
0.0194,	0.3724	,-1.17
0.0196,	0.3805	,-0.21
0.0198,	0.2763	,2.39
0.0200,	0.2243	,0.91
0.0202,	0.2403	,-0.26
0.0204,	0.3044	,-1.22
0.0206,	0.2924	,0.25
0.0208,	0.3124	,-0.42
0.0210,	0.2843	,0.59
0.0212,	0.3524	,-1.52
0.0214,	0.3604	,-0.20
0.0216,	0.3204	,0.95
0.0218,	0.2123	,2.02
0.0220,	0.2523	,-0.65
0.0222,	0.2683	,-0.29
0.0224,	0.2843	,-0.31
0.0226,	0.2323	,0.94
0.0228,	0.2243	,0.13
0.0230,	0.2563	,-0.54
0.0232,	0.2723	,-0.30
0.0234,	0.2803	,-0.15
0.0236,	0.2563	,0.45
0.0238,	0.2163	,0.66
0.0240,	0.2964	,-1.44
0.0242,	0.3925	,-2.32
0.0244,	0.2763	,2.72
0.0246,	0.2363	,0.72
0.0248,	0.2002	,0.55
0.0250,	0.2123	,-0.17
0.0252,	0.3044	,-1.67
0.0254,	0.2603	,0.87
0.0256,	0.2483	,0.21
0.0258,	0.2763	,-0.51
0.0260,	0.2683	,0.15
0.0262,	0.2563	,0.22
0.0264,	0.2483	,0.14
0.0266,	0.2083	,0.64
0.0268,	0.2083	,0.00
0.0270,	0.2203	,-0.18
0.0272,	0.2403	,-0.32
0.0274,	0.2042	,0.56
0.0276,	0.1882	,0.22
0.0278,	0.2203	,-0.46
0.0280,	0.2283	,-0.13
0.0282,	0.2363	,-0.13
0.0284,	0.2083	,0.44
0.0286,	0.2083	,0.00
0.0288,	0.2483	,-0.64
0.0290,	0.2643	,-0.29
0.0292,	0.2563	,0.15
0.0294,	0.2083	,0.78
0.0296,	0.2123	,-0.06
0.0298,	0.2083	,0.06
0.0300,	0.1962	,0.17
0.0302,	0.1802	,0.21
0.0304,	0.1922	,-0.16
0.0306,	0.2083	,-0.22
0.0308,	0.2843	,-1.31
0.0310,	0.2643	,0.38
0.0312,	0.1922	,1.15
0.0314,	0.1842	,0.11
0.0316,	0.1762	,0.10
0.0318,	0.1041	,0.71
0.0320,	0.1642	,-0.56
0.0322,	0.1241	,0.40
0.0324,	0.1762	,-0.55
0.0326,	0.2042	,-0.37
0.0328,	0.1522	,0.65
0.0330,	0.1722	,-0.23
0.0332,	0.1522	,0.23
0.0334,	0.1402	,0.12
0.0336,	0.2083	,-0.83
0.0338,	0.2203	,-0.18
0.0340,	0.1962	,0.35
0.0342,	0.1762	,0.26
0.0344,	0.2403	,-0.93
0.0346,	0.1842	,0.83
0.0348,	0.1442	,0.46
0.0350,	0.1882	,-0.51
0.0352,	0.2203	,-0.46
0.0354,	0.2964	,-1.38
0.0356,	0.2643	,0.63
0.0358,	0.1962	,1.10
0.0360,	0.1802	,0.21
0.0362,	0.1882	,-0.10
0.0364,	0.1882	,0.00
0.0366,	0.1562	,0.39
0.0368,	0.0601	,0.73
0.0370,	0.1161	,-0.35
0.0372,	0.1642	,-0.47
0.0374,	0.2083	,-0.57
0.0376,	0.1962	,0.17
0.0378,	0.2163	,-0.29
0.0380,	0.2123	,0.06
0.0382,	0.2283	,-0.25
0.0384,	0.2323	,-0.06
0.0386,	0.1802	,0.75
0.0388,	0.1642	,0.19
0.0390,	0.2083	,-0.57
0.0392,	0.2123	,-0.06
0.0394,	0.1842	,0.39
0.0396,	0.1402	,0.50
0.0398,	0.1922	,-0.61
0.0400,	0.2123	,-0.28
0.0402,	0.2603	,-0.79
0.0404,	0.2083	,0.85
0.0406,	0.2563	,-0.78
0.0408,	0.3124	,-1.12
0.0410,	0.2603	,1.04
0.0412,	0.1802	,1.23
0.0414,	0.0961	,0.81
0.0416,	0.1642	,-0.62
0.0418,	0.1682	,-0.05
0.0420,	0.1922	,-0.30
0.0422,	0.1562	,0.44
0.0424,	0.1602	,-0.04
0.0426,	0.1802	,-0.24
0.0428,	0.1642	,0.19
0.0430,	0.1522	,0.13
0.0432,	0.1842	,-0.38
0.0434,	0.2523	,-1.04
0.0436,	0.2924	,-0.76
0.0438,	0.2363	,1.04
0.0440,	0.1762	,0.87
0.0442,	0.1121	,0.65
0.0444,	0.2083	,-1.08
0.0446,	0.2042	,0.06
0.0448,	0.1842	,0.27
0.0450,	0.1682	,0.20
0.0452,	0.2723	,-1.61
0.0454,	0.2683	,0.08
0.0456,	0.2243	,0.76
0.0458,	0.1642	,0.82
0.0460,	0.1522	,0.13
0.0462,	0.1802	,-0.33
0.0464,	0.2083	,-0.38
0.0466,	0.1282	,0.94
0.0468,	0.1081	,0.17
0.0470,	0.1241	,-0.13
0.0472,	0.2123	,-1.04
0.0474,	0.1922	,0.28
0.0476,	0.1201	,0.79
0.0478,	0.1322	,-0.11
0.0480,	0.1562	,-0.24
0.0482,	0.2042	,-0.61
0.0484,	0.1682	,0.47
0.0486,	0.1241	,0.45
0.0488,	0.1442	,-0.19
0.0490,	0.2403	,-1.29
0.0492,	0.1842	,0.83
0.0494,	0.1161	,0.72
0.0496,	0.1442	,-0.26
0.0498,	0.2123	,-0.85
0.0500,	0.2403	,-0.44
0.0502,	0.2523	,-0.21
0.0504,	0.2083	,0.71
0.0506,	0.1362	,0.87
0.0508,	0.1842	,-0.54
0.0510,	0.1642	,0.24
0.0512,	0.0521	,0.85
0.0514,	0.0841	,-0.15
0.0516,	0.1121	,-0.19
0.0518,	0.1201	,-0.07
0.0520,	0.0961	,0.18
0.0522,	0.1121	,-0.12
0.0524,	0.1041	,0.06
0.0526,	0.1322	,-0.23
0.0528,	0.1842	,-0.58
0.0530,	0.1682	,0.20
0.0532,	0.1842	,-0.20
0.0534,	0.1962	,-0.16
0.0536,	0.2323	,-0.54
0.0538,	0.1161	,1.42
0.0540,	0.1001	,0.12
0.0542,	0.1282	,-0.22
0.0544,	0.1802	,-0.56
0.0546,	0.1722	,0.10
0.0548,	0.2002	,-0.37
0.0550,	0.2203	,-0.29
0.0552,	0.2042	,0.24
0.0554,	0.2002	,0.06
0.0556,	0.1762	,0.32
0.0558,	0.1522	,0.28
0.0560,	0.1482	,0.04
0.0562,	0.2042	,-0.69
0.0564,	0.1322	,0.85
0.0566,	0.1482	,-0.16
0.0568,	0.1922	,-0.52
0.0570,	0.1722	,0.26
0.0572,	0.1962	,-0.31
0.0574,	0.1362	,0.70
0.0576,	0.1522	,-0.16
0.0578,	0.1762	,-0.28
0.0580,	0.1602	,0.19
0.0582,	0.1762	,-0.19
0.0584,	0.1682	,0.10
0.0586,	0.1722	,-0.05
0.0588,	0.1642	,0.09
0.0590,	0.1762	,-0.14
0.0592,	0.1642	,0.14
0.0594,	0.1482	,0.18
0.0596,	0.1682	,-0.22
0.0598,	0.2563	,-1.31
0.0600,	0.2403	,0.28
0.0602,	0.2243	,0.26
0.0604,	0.2283	,-0.06
0.0606,	0.1922	,0.53
0.0608,	0.1602	,0.40
0.0610,	0.0961	,0.57
0.0612,	0.0961	,0.00
0.0614,	0.1802	,-0.81
0.0616,	0.2083	,-0.38
0.0618,	0.1962	,0.17
0.0620,	0.1442	,0.62
0.0622,	0.1482	,-0.04
0.0624,	0.1762	,-0.32
0.0626,	0.2123	,-0.49
0.0628,	0.1722	,0.54
0.0630,	0.1842	,-0.15
0.0632,	0.2403	,-0.83
0.0634,	0.2443	,-0.07
0.0636,	0.1922	,0.80
0.0638,	0.1482	,0.52
0.0640,	0.1442	,0.04
0.0642,	0.1682	,-0.26
0.0644,	0.2042	,-0.47
0.0646,	0.2443	,-0.63
0.0648,	0.1602	,1.19
0.0650,	0.1962	,-0.45
0.0652,	0.2002	,-0.06
0.0654,	0.2323	,-0.49
0.0656,	0.2243	,0.13
0.0658,	0.1402	,1.07
0.0660,	0.1081	,0.28
0.0662,	0.1642	,-0.53
0.0664,	0.1642	,0.00
0.0666,	0.1121	,0.50
0.0668,	0.0721	,0.26
0.0670,	0.1842	,-1.01
0.0672,	0.2002	,-0.22
0.0674,	0.1642	,0.46
0.0676,	0.1802	,-0.19
0.0678,	0.1522	,0.33
0.0680,	0.1442	,0.08
0.0682,	0.1762	,-0.36
0.0684,	0.2163	,-0.55
0.0686,	0.1322	,1.03
0.0688,	0.1282	,0.04
0.0690,	0.1602	,-0.32
0.0692,	0.1922	,-0.40
0.0694,	0.2002	,-0.11
0.0696,	0.1682	,0.41
0.0698,	0.1642	,0.05
0.0700,	0.1322	,0.33
0.0702,	0.1962	,-0.74
0.0704,	0.1442	,0.62
0.0706,	0.0921	,0.43
0.0708,	0.0320	,0.26
0.0710,	0.1201	,-0.47
0.0712,	0.1522	,-0.31
0.0714,	0.1762	,-0.28
0.0716,	0.1241	,0.55
0.0718,	0.1442	,-0.19
0.0720,	0.1762	,-0.36
0.0722,	0.1802	,-0.05
0.0724,	0.1922	,-0.16
0.0726,	0.1522	,0.48
0.0728,	0.2002	,-0.59
0.0730,	0.1882	,0.16
0.0732,	0.1402	,0.55
0.0734,	0.0721	,0.51
0.0736,	0.0761	,-0.02
0.0738,	0.0881	,-0.07
0.0740,	0.1282	,-0.30
0.0742,	0.1842	,-0.61
0.0744,	0.2083	,-0.33
0.0746,	0.1882	,0.28
0.0748,	0.2163	,-0.40
0.0750,	0.2042	,0.18
0.0752,	0.1562	,0.61
0.0754,	0.1121	,0.41
0.0756,	0.1081	,0.03
0.0758,	0.1442	,-0.32
0.0760,	0.2083	,-0.79
0.0762,	0.1121	,1.08
0.0764,	0.0641	,0.30
0.0766,	0.1081	,-0.27
0.0768,	0.1562	,-0.44
0.0770,	0.1722	,-0.18
0.0772,	0.1522	,0.23
0.0774,	0.1922	,-0.48
0.0776,	0.1842	,0.11
0.0778,	0.2403	,-0.83
0.0780,	0.2002	,0.62
0.0782,	0.1602	,0.51
0.0784,	0.1882	,-0.34
0.0786,	0.1642	,0.30
0.0788,	0.1482	,0.18
0.0790,	0.1642	,-0.18
0.0792,	0.1522	,0.13
0.0794,	0.1522	,0.00
0.0796,	0.2123	,-0.77
0.0798,	0.2403	,-0.44
0.0800,	0.1762	,0.93
0.0802,	0.1442	,0.36
0.0804,	0.1562	,-0.13
0.0806,	0.1482	,0.09
0.0808,	0.1522	,-0.04
0.0810,	0.1522	,0.00
0.0812,	0.1562	,-0.04
0.0814,	0.1922	,-0.44
0.0816,	0.2002	,-0.11
0.0818,	0.1522	,0.59
0.0820,	0.0961	,0.49
0.0822,	0.0841	,0.08
0.0824,	0.2283	,-1.58
0.0826,	0.2243	,0.06
0.0828,	0.2002	,0.36
0.0830,	0.1762	,0.32
0.0832,	0.1282	,0.51
0.0834,	0.1882	,-0.67
0.0836,	0.1882	,0.00
0.0838,	0.1842	,0.05
0.0840,	0.2243	,-0.57
0.0842,	0.2563	,-0.54
0.0844,	0.2483	,0.14
0.0846,	0.2083	,0.64
0.0848,	0.1602	,0.62
0.0850,	0.1041	,0.52
0.0852,	0.1642	,-0.56
0.0854,	0.1682	,-0.05
0.0856,	0.1362	,0.34
0.0858,	0.0881	,0.38
0.0860,	0.0961	,-0.05
0.0862,	0.1722	,-0.71
0.0864,	0.1722	,0.00
0.0866,	0.1602	,0.14
0.0868,	0.1522	,0.09
0.0870,	0.1442	,0.08
0.0872,	0.2243	,-1.03
0.0874,	0.2002	,0.36
0.0876,	0.1762	,0.32
0.0878,	0.0921	,0.79
0.0880,	0.1482	,-0.47
0.0882,	0.1922	,-0.52
0.0884,	0.1722	,0.26
0.0886,	0.1322	,0.43
0.0888,	0.1522	,-0.20
0.0890,	0.2243	,-0.95
0.0892,	0.2523	,-0.47
0.0894,	0.2323	,0.34
0.0896,	0.1642	,0.94
0.0898,	0.1282	,0.37
0.0900,	0.1201	,0.07
0.0902,	0.1282	,-0.07
0.0904,	0.0681	,0.41
0.0906,	0.0721	,-0.02
0.0908,	0.1402	,-0.51
0.0910,	0.1842	,-0.50
0.0912,	0.2083	,-0.33
0.0914,	0.0921	,1.22
0.0916,	0.0641	,0.15
0.0918,	0.1682	,-0.85
0.0920,	0.1682	,0.00
0.0922,	0.1922	,-0.30
0.0924,	0.1282	,0.72
0.0926,	0.0881	,0.30
0.0928,	0.1081	,-0.14
0.0930,	0.1562	,-0.44
0.0932,	0.0961	,0.53
0.0934,	0.0721	,0.14
0.0936,	0.1642	,-0.76
0.0938,	0.2603	,-1.43
0.0940,	0.2443	,0.28
0.0942,	0.2042	,0.63
0.0944,	0.1642	,0.52
0.0946,	0.1362	,0.29
0.0948,	0.1922	,-0.64
0.0950,	0.1241	,0.75
0.0952,	0.0961	,0.22
0.0954,	0.1241	,-0.22
0.0956,	0.1282	,-0.04
0.0958,	0.1362	,-0.07
0.0960,	0.1282	,0.07
0.0964,	0.1001	,-0.35
0.0966,	0.1762	,-0.74
0.0968,	0.1922	,-0.21
0.0970,	0.2203	,-0.40
0.0972,	0.1562	,0.84
0.0974,	0.1522	,0.04
0.0976,	0.2163	,-0.83
0.0978,	0.1562	,0.78
0.0980,	0.1522	,0.04
0.0982,	0.1121	,0.37
0.0984,	0.2002	,-0.96
0.0986,	0.1802	,0.27
0.0988,	0.1402	,0.45
0.0990,	0.1682	,-0.30
0.0992,	0.1922	,-0.30
0.0994,	0.2042	,-0.17
0.0996,	0.2403	,-0.56
0.0998,	0.1602	,1.12
0.1000,	0.0921	,0.60
0.1002,	0.1482	,-0.47
0.1004,	0.2203	,-0.93
0.1006,	0.2243	,-0.06
0.1008,	0.1682	,0.77
0.1010,	0.0921	,0.69
0.1012,	0.1402	,-0.39
0.1014,	0.1722	,-0.35
0.1016,	0.1642	,0.09
0.1018,	0.1362	,0.29
0.1020,	0.1802	,-0.49
0.1022,	0.2483	,-1.02
0.1024,	0.2443	,0.07
0.1026,	0.2123	,0.51
0.1028,	0.1562	,0.72
0.1030,	0.1241	,0.31
0.1032,	0.2203	,-1.16
0.1034,	0.2723	,-0.90
0.1036,	0.2523	,0.37
0.1038,	0.2042	,0.77
0.1040,	0.1842	,0.27
0.1042,	0.2243	,-0.57
0.1044,	0.1442	,1.03
0.1046,	0.1001	,0.38
0.1048,	0.1041	,-0.03
0.1050,	0.1442	,-0.35
0.1052,	0.2243	,-1.03
0.1054,	0.2323	,-0.13
0.1056,	0.1282	,1.31
0.1058,	0.1482	,-0.19
0.1060,	0.2083	,-0.75
0.1062,	0.2123	,-0.06
0.1064,	0.2123	,0.00
0.1066,	0.1442	,0.85
0.1068,	0.1241	,0.19
0.1070,	0.1522	,-0.27
0.1072,	0.1802	,-0.33
0.1074,	0.1362	,0.49
0.1076,	0.1081	,0.24
0.1078,	0.1322	,-0.20
0.1080,	0.1282	,0.04
0.1082,	0.1121	,0.13
0.1084,	0.2042	,-1.02
0.1086,	0.1602	,0.56
0.1088,	0.2083	,-0.62
0.1090,	0.2323	,-0.37
0.1092,	0.2123	,0.31
0.1094,	0.1842	,0.39
0.1096,	0.0641	,1.04
0.1098,	0.0721	,-0.04
0.1100,	0.1121	,-0.26
0.1102,	0.1121	,0.00
0.1104,	0.1682	,-0.55
0.1106,	0.1442	,0.26
0.1108,	0.1642	,-0.22
0.1110,	0.1682	,-0.05
0.1112,	0.1562	,0.14
0.1114,	0.1402	,0.17
0.1116,	0.1722	,-0.35
0.1118,	0.2083	,-0.48
0.1120,	0.1482	,0.75
0.1122,	0.1201	,0.26
0.1124,	0.0040	,0.50
0.1126,	0.0521	,-0.09
0.1128,	0.0801	,-0.13
0.1130,	0.0961	,-0.10
0.1132,	0.1762	,-0.76
0.1134,	0.2163	,-0.55
0.1136,	0.2523	,-0.59
0.1138,	0.1842	,1.04
0.1140,	0.1081	,0.78
0.1142,	0.1322	,-0.20
0.1144,	0.1842	,-0.58
0.1146,	0.1722	,0.15
0.1148,	0.1001	,0.69
0.1150,	0.0841	,0.10
0.1152,	0.1682	,-0.74
0.1154,	0.2002	,-0.41
0.1156,	0.1602	,0.51
0.1158,	0.1121	,0.46
0.1160,	0.1482	,-0.33
0.1162,	0.2363	,-1.19
0.1164,	0.2283	,0.13
0.1166,	0.2002	,0.42
0.1168,	0.1402	,0.72
0.1170,	0.1482	,-0.08
0.1172,	0.1842	,-0.42
0.1174,	0.1402	,0.50
0.1176,	0.1041	,0.31
0.1178,	0.1282	,-0.20
0.1180,	0.1762	,-0.51
0.1182,	0.2243	,-0.67
0.1184,	0.2243	,0.00
0.1186,	0.1762	,0.67
0.1188,	0.1362	,0.44
0.1190,	0.2163	,-0.99
0.1192,	0.2163	,0.00
0.1194,	0.1121	,1.20
0.1196,	0.1121	,0.00
0.1198,	0.1442	,-0.29
0.1200,	0.1522	,-0.08
0.1202,	0.1121	,0.37
0.1204,	0.1282	,-0.13
0.1206,	0.0961	,0.25
0.1208,	0.1762	,-0.76
0.1210,	0.1442	,0.36
0.1212,	0.1282	,0.15
0.1214,	0.1682	,-0.42
0.1216,	0.2002	,-0.41
0.1218,	0.2563	,-0.90
0.1220,	0.2083	,0.78
0.1222,	0.1682	,0.53
0.1224,	0.1522	,0.18
0.1226,	0.1682	,-0.18
0.1228,	0.2283	,-0.83
0.1230,	0.1882	,0.58
0.1232,	0.1802	,0.10
0.1234,	0.2083	,-0.38
0.1236,	0.2403	,-0.50
0.1238,	0.1802	,0.88
0.1240,	0.0561	,1.03
0.1242,	0.0921	,-0.19
0.1244,	0.1602	,-0.60
0.1246,	0.2002	,-0.51
0.1248,	0.1562	,0.55
0.1250,	0.1602	,-0.04
0.1252,	0.1642	,-0.05
0.1254,	0.2042	,-0.52
0.1256,	0.1442	,0.73
0.1258,	0.1402	,0.04
0.1260,	0.1442	,-0.04
0.1262,	0.1522	,-0.08
0.1264,	0.1322	,0.20
0.1266,	0.0961	,0.29
0.1268,	0.0841	,0.08
0.1270,	0.1282	,-0.33
0.1272,	0.2163	,-1.06
0.1274,	0.2283	,-0.19
0.1276,	0.2042	,0.36
0.1278,	0.2083	,-0.06
0.1280,	0.2123	,-0.06
0.1282,	0.1882	,0.34
0.1284,	0.2123	,-0.34
0.1286,	0.1522	,0.77
0.1288,	0.1161	,0.34
0.1290,	0.1121	,0.03
0.1292,	0.1081	,0.03
0.1294,	0.0601	,0.28
0.1296,	0.0360	,0.08
0.1298,	0.0921	,-0.25
0.1300,	0.1602	,-0.60
0.1302,	0.1322	,0.29
0.1304,	0.1121	,0.17
0.1306,	0.1562	,-0.41
0.1308,	0.1402	,0.17
0.1310,	0.2002	,-0.72
0.1312,	0.1602	,0.51
0.1314,	0.1402	,0.21
0.1316,	0.1362	,0.04
0.1318,	0.1522	,-0.16
0.1320,	0.1161	,0.34
0.1322,	0.0160	,0.46
0.1324,	0.1001	,-0.34
0.1326,	0.1882	,-0.89
0.1328,	0.2523	,-0.99
0.1330,	0.2163	,0.59
0.1332,	0.1842	,0.45
0.1334,	0.2002	,-0.22
0.1336,	0.1802	,0.27
0.1338,	0.1322	,0.53
0.1340,	0.0881	,0.34
0.1342,	0.1362	,-0.38
0.1344,	0.0841	,0.40
0.1346,	0.1602	,-0.65
0.1348,	0.1322	,0.29
0.1350,	0.0921	,0.31
0.1352,	0.1201	,-0.21
0.1354,	0.1442	,-0.22
0.1356,	0.1602	,-0.17
0.1358,	0.1402	,0.21
0.1360,	0.1762	,-0.40
0.1362,	0.2163	,-0.55
0.1364,	0.1762	,0.55
0.1366,	0.1842	,-0.10
0.1368,	0.1282	,0.61
0.1370,	0.1362	,-0.07
0.1372,	0.1482	,-0.12
0.1374,	0.2163	,-0.87
0.1376,	0.2123	,0.06
0.1378,	0.1882	,0.34
0.1380,	0.1962	,-0.11
0.1382,	0.1962	,0.00
0.1384,	0.2283	,-0.48
0.1386,	0.1722	,0.79
0.1388,	0.1121	,0.60
0.1390,	0.0921	,0.14
0.1392,	0.1322	,-0.31
0.1394,	0.1282	,0.04
0.1396,	0.1041	,0.20
0.1398,	0.1682	,-0.61
0.1400,	0.1722	,-0.05
0.1402,	0.1482	,0.27
0.1404,	0.1962	,-0.58
0.1406,	0.1762	,0.26
0.1408,	0.2083	,-0.43
0.1410,	0.2002	,0.11
0.1412,	0.1642	,0.46
0.1414,	0.1762	,-0.14
0.1416,	0.1882	,-0.15
0.1418,	0.1522	,0.43
0.1420,	0.1802	,-0.33
0.1422,	0.1081	,0.73
0.1424,	0.1962	,-0.94
0.1426,	0.2203	,-0.35
0.1428,	0.2243	,-0.06
0.1430,	0.2042	,0.30
0.1432,	0.1642	,0.52
0.1434,	0.1402	,0.26
0.1436,	0.1762	,-0.40
0.1438,	0.1522	,0.28
0.1440,	0.1562	,-0.04
0.1442,	0.1602	,-0.04
0.1444,	0.1802	,-0.24
0.1446,	0.2002	,-0.27
0.1448,	0.1402	,0.72
0.1450,	0.1522	,-0.12
0.1452,	0.1362	,0.16
0.1454,	0.1762	,-0.44
0.1456,	0.1682	,0.10
0.1458,	0.1762	,-0.10
0.1460,	0.1522	,0.28
0.1462,	0.1201	,0.31
0.1464,	0.0481	,0.42
0.1466,	0.1322	,-0.53
0.1468,	0.1602	,-0.29
0.1470,	0.1642	,-0.05
0.1472,	0.1842	,-0.24
0.1474,	0.2443	,-0.90
0.1476,	0.2163	,0.45
0.1478,	0.1802	,0.50
0.1480,	0.0801	,0.91
0.1482,	0.1121	,-0.22
0.1484,	0.1322	,-0.17
0.1486,	0.1081	,0.20
0.1488,	0.0921	,0.11
0.1490,	0.0881	,0.03
0.1492,	0.1201	,-0.23
0.1494,	0.1882	,-0.73
0.1496,	0.1722	,0.20
0.1498,	0.1642	,0.09
0.1500,	0.1402	,0.26
0.1502,	0.1161	,0.22
0.1504,	0.1642	,-0.47
0.1506,	0.1922	,-0.35
0.1508,	0.1682	,0.30
0.1510,	0.1161	,0.52
0.1512,	0.1762	,-0.61
0.1514,	0.1201	,0.58
0.1516,	0.1282	,-0.07
0.1518,	0.0961	,0.25
0.1520,	0.0801	,0.10
0.1522,	0.1642	,-0.72
0.1524,	0.2243	,-0.82
0.1526,	0.2443	,-0.33
0.1528,	0.1682	,1.10
0.1530,	0.1642	,0.05
0.1532,	0.1482	,0.18
0.1534,	0.1442	,0.04
0.1536,	0.0841	,0.48
0.1538,	0.0881	,-0.02
0.1540,	0.1762	,-0.82
0.1542,	0.1522	,0.28
0.1544,	0.1362	,0.16
0.1546,	0.0881	,0.38
0.1548,	0.1161	,-0.20
0.1550,	0.1322	,-0.14
0.1552,	0.2083	,-0.91
0.1554,	0.2283	,-0.31
0.1556,	0.1842	,0.64
0.1558,	0.1802	,0.05
0.1560,	0.1642	,0.19
0.1562,	0.1762	,-0.14
0.1564,	0.1041	,0.71
0.1566,	0.1121	,-0.06
0.1568,	0.1282	,-0.13
0.1570,	0.1962	,-0.77
0.1572,	0.2323	,-0.54
0.1574,	0.1682	,0.90
0.1576,	0.1482	,0.22
0.1578,	0.1722	,-0.27
0.1580,	0.1562	,0.18
0.1582,	0.1602	,-0.04
0.1584,	0.1282	,0.32
0.1586,	0.1121	,0.13
0.1588,	0.1442	,-0.29
0.1590,	0.1642	,-0.22
0.1592,	0.1962	,-0.40
0.1594,	0.1241	,0.81
0.1596,	0.1322	,-0.07
0.1598,	0.1882	,-0.63
0.1600,	0.3644	,-3.41
